args.keyword is: 
args.excludekeyword is: 
==========,PACMPL,TITLE,AUTHORS,URL,===========
"* TAYLOR SUBSUMES SCOTT, BERRY, KAHN AND PLOTKIN.",Davide Barbarossa Giulio Manzonetto,https://doi.org/10.1145/3371069
* DEDUCTIVE VERIFICATION WITH GHOST MONITORS.,Martin Clochard Claude Marché Andrei Paskevich,https://doi.org/10.1145/3371070
* DEPENDENT TYPE SYSTEMS AS MACROS.,Stephen Chang Michael Ballantyne Milo Turner William J. Bowman,https://doi.org/10.1145/3371071
* THE NEXT 700 RELATIONAL PROGRAM LOGICS.,Kenji Maillard Catalin Hritcu Exequiel Rivas Antoine Van Muylder,https://doi.org/10.1145/3371072
* COMPLEXITY AND INFORMATION IN INVARIANT INFERENCE.,Yotam M. Y. Feldman Neil Immerman Mooly Sagiv Sharon Shoham,https://doi.org/10.1145/3371073
* ACTRIS: SESSION-TYPE BASED REASONING IN SEPARATION LOGIC.,Jonas Kastberg Hinrichsen Jesper Bengtson Robbert Krebbers,https://doi.org/10.1145/3371074
* FORMAL VERIFICATION OF A CONSTANT-TIME PRESERVING C COMPILER.,Gilles Barthe Sandrine Blazy Benjamin Grégoire Rémi Hutin Vincent Laporte David Pichardie Alix Trieu,https://doi.org/10.1145/3371075
"* COQ COQ CORRECT! VERIFICATION OF TYPE CHECKING AND ERASURE FOR COQ, IN COQ.",Matthieu Sozeau Simon Boulier Yannick Forster Nicolas Tabareau Théo Winterhalter,https://doi.org/10.1145/3371076
* UNDECIDABILITY OF ,Jason Z. S. Hu Ondrej Lhoták,https://doi.org/10.1145/3371077
* INCORRECTNESS LOGIC.,Peter W. O'Hearn,https://doi.org/10.1145/3371078
* PERSISTENCY SEMANTICS OF THE INTEL-X86 ARCHITECTURE.,Azalea Raad John Wickerson Gil Neiger Viktor Vafeiadis,https://doi.org/10.1145/3371079
* PROGRAM SYNTHESIS BY TYPE-GUIDED ABSTRACTION REFINEMENT.,Zheng Guo Michael James David Justo Jiaxiao Zhou Ziteng Wang Ranjit Jhala Nadia Polikarpova,https://doi.org/10.1145/3371080
* REDUCTIONS FOR SAFETY PROOFS.,Azadeh Farzan Anthony Vandikas,https://doi.org/10.1145/3371081
* DETERMINISTIC PARALLEL FIXPOINT COMPUTATION.,Sung Kook Kim Arnaud J. Venet Aditya V. Thakur,https://doi.org/10.1145/3371082
* RECURRENCE EXTRACTION FOR FUNCTIONAL PROGRAMS THROUGH CALL-BY-PUSH-VALUE.,G. A. Kavvos Edward Morehouse Daniel R. Licata Norman Danner,https://doi.org/10.1145/3371083
* TOWARDS VERIFIED STOCHASTIC VARIATIONAL INFERENCE FOR PROBABILISTIC PROGRAMS.,Wonyeol Lee Hangyeol Yu Xavier Rival Hongseok Yang,https://doi.org/10.1145/3371084
"* FAST, SOUND, AND EFFECTIVELY COMPLETE DYNAMIC RACE PREDICTION.",Andreas Pavlogiannis,https://doi.org/10.1145/3371085
* PAR MEANS PARALLEL: MULTIPLICATIVE LINEAR LOGIC PROOFS AS CONCURRENT FUNCTIONAL PROGRAMS.,Federico Aschieri Francesco A. Genco,https://doi.org/10.1145/3371086
* TRACE TYPES AND DENOTATIONAL SEMANTICS FOR SOUND PROGRAMMABLE INFERENCE IN PROBABILISTIC LANGUAGES.,Alexander K. Lew Marco F. Cusumano-Towner Benjamin Sherman Michael Carbin Vikash K. Mansinghka,https://doi.org/10.1145/3371087
* VIRTUAL TIMELINE: A FORMAL ABSTRACTION FOR VERIFYING PREEMPTIVE SCHEDULERS WITH TEMPORAL ISOLATION.,Mengqi Liu Lionel Rieg Zhong Shao Ronghui Gu David Costanzo Jung-Eun Kim Man-Ki Yoon,https://doi.org/10.1145/3371088
* RELATIONAL PROOFS FOR QUANTUM PROGRAMS.,Gilles Barthe Justin Hsu Mingsheng Ying Nengkun Yu Li Zhou,https://doi.org/10.1145/3371089
* SEMINAÏVE EVALUATION FOR A HIGHER-ORDER FUNCTIONAL LANGUAGE.,Michael Arntzenius Neel Krishnaswami,https://doi.org/10.1145/3371090
* COMPCERTM: COMPCERT WITH C-ASSEMBLY LINKING AND LIGHTWEIGHT MODULAR VERIFICATION.,Youngju Song Minki Cho Dongjoo Kim Yonghyun Kim Jeehoon Kang Chung-Kil Hur,https://doi.org/10.1145/3371091
* LIQUIDATE YOUR ASSETS: REASONING ABOUT RESOURCE USAGE IN LIQUID HASKELL.,Martin A. T. Handley Niki Vazou Graham Hutton,https://doi.org/10.1145/3371092
* PROVING EXPECTED SENSITIVITY OF PROBABILISTIC PROGRAMS WITH RANDOMIZED VARIABLE-DEPENDENT TERMINATION TIME.,Peixin Wang Hongfei Fu Krishnendu Chatterjee Yuxin Deng Ming Xu,https://doi.org/10.1145/3371093
* PARAMETERIZED VERIFICATION UNDER TSO IS PSPACE-COMPLETE.,Parosh Aziz Abdulla Mohamed Faouzi Atig Rojin Rezvan,https://doi.org/10.1145/3371094
* THE WEAK CALL-BY-VALUE Λ-CALCULUS IS REASONABLE FOR BOTH TIME AND SPACE.,Yannick Forster Fabian Kunze Marc Roth,https://doi.org/10.1145/3371095
* ABSTRACT EXTENSIONALITY: ON THE PROPERTIES OF INCOMPLETE ABSTRACT INTERPRETATIONS.,Roberto Bruni Roberto Giacobazzi Roberta Gori Isabel Garcia-Contreras Dusko Pavlovic,https://doi.org/10.1145/3371096
* WHAT IS DECIDABLE ABOUT GRADUAL TYPES?,Zeina Migeed Jens Palsberg,https://doi.org/10.1145/3371097
* DECOMPOSITION DIVERSITY WITH SYMMETRIC DATA AND CODATA.,David Binder Julian Jabs Ingo Skupin Klaus Ostermann,https://doi.org/10.1145/3371098
* REDUCTION MONADS AND THEIR SIGNATURES.,Benedikt Ahrens André Hirschowitz Ambroise Lafont Marco Maggesi,https://doi.org/10.1145/3371099
* THE HIGH-LEVEL BENEFITS OF LOW-LEVEL SANDBOXING.,Michael Sammler Deepak Garg Derek Dreyer Tadeusz Litak,https://doi.org/10.1145/3371100
* SPY GAME: VERIFYING A LOCAL GENERIC SOLVER IN IRIS.,Paulo Emílio de Vilhena François Pottier Jacques-Henri Jourdan,https://doi.org/10.1145/3371101
* RUSTBELT MEETS RELAXED MEMORY.,Hoang-Hai Dang Jacques-Henri Jourdan Jan-Oliver Kaiser Derek Dreyer,https://doi.org/10.1145/3371102
* DECIDING MEMORY SAFETY FOR SINGLE-PASS HEAP-MANIPULATING PROGRAMS.,Umang Mathur Adithya Murali Paul Krogmeier P. Madhusudan Mahesh Viswanathan,https://doi.org/10.1145/3371103
* OPTIMAL APPROXIMATE SAMPLING FROM DISCRETE PROBABILITY DISTRIBUTIONS.,Feras A. Saad Cameron E. Freer Martin C. Rinard Vikash K. Mansinghka,https://doi.org/10.1145/3371104
* AIMING LOW IS HARDER: INDUCTION FOR LOWER BOUNDS IN PROBABILISTIC PROGRAM VERIFICATION.,Marcel Hark Benjamin Lucien Kaminski Jürgen Giesl Joost-Pieter Katoen,https://doi.org/10.1145/3371105
* A SIMPLE DIFFERENTIABLE PROGRAMMING LANGUAGE.,Martín Abadi Gordon D. Plotkin,https://doi.org/10.1145/3371106
* PΛΩNK: FUNCTIONAL PROBABILISTIC NETKAT.,Alexander Vandenbroucke Tom Schrijvers,https://doi.org/10.1145/3371107
"* PARTIAL TYPE CONSTRUCTORS: OR, MAKING AD HOC DATATYPES LESS AD HOC.",Mark P. Jones J. Garrett Morris Richard A. Eisenberg,https://doi.org/10.1145/3371108
* STACKED BORROWS: AN ALIASING MODEL FOR RUST.,Ralf Jung Hoang-Hai Dang Jeehoon Kang Derek Dreyer,https://doi.org/10.1145/3371109
* ABSTRACT INTERPRETATION OF DISTRIBUTED NETWORK CONTROL PLANES.,Ryan Beckett Aarti Gupta Ratul Mahajan David Walker,https://doi.org/10.1145/3371110
* EXECUTABLE FORMAL SEMANTICS FOR THE POSIX SHELL.,Michael Greenberg Austin J. Blatt,https://doi.org/10.1145/3371111
* MECHANIZED SEMANTICS AND VERIFIED COMPILATION FOR A DATAFLOW SYNCHRONOUS LANGUAGE WITH RESET.,Timothy Bourke Lélio Brun Marc Pouzet,https://doi.org/10.1145/3371112
* THE FUTURE IS OURS: PROPHECY VARIABLES IN SEPARATION LOGIC.,Ralf Jung Rodolphe Lepigre Gaurav Parthasarathy Marianna Rapoport Amin Timany Derek Dreyer Bart Jacobs,https://doi.org/10.1145/3371113
* GRADUALITY AND PARAMETRICITY: TOGETHER AGAIN FOR THE FIRST TIME.,Max S. New Dustin Jamner Amal Ahmed,https://doi.org/10.1145/3371114
* DISENTANGLEMENT IN NESTED-PARALLEL PROGRAMS.,Sam Westrick Rohan Yadav Matthew Fluet Umut A. Acar,https://doi.org/10.1145/3371115
"* BINDERS BY DAY, LABELS BY NIGHT: EFFECT INSTANCES VIA LEXICALLY SCOPED HANDLERS.",Dariusz Biernacki Maciej Piróg Piotr Polesiuk Filip Sieczkowski,https://doi.org/10.1145/3371116
* VISUALIZATION BY EXAMPLE.,Chenglong Wang Yu Feng Rastislav Bodík Alvin Cheung Isil Dillig,https://doi.org/10.1145/3371117
* A LANGUAGE FOR PROBABILISTICALLY OBLIVIOUS COMPUTATION.,David Darais Ian Sweet Chang Liu Michael Hicks,https://doi.org/10.1145/3371118
* INTERACTION TREES: REPRESENTING RECURSIVE AND IMPURE PROGRAMS IN COQ.,Li-yao Xia Yannick Zakowski Paul He Chung-Kil Hur Gregory Malecha Benjamin C. Pierce Steve Zdancewic,https://doi.org/10.1145/3371119
* SYNTHESIZING REPLACEMENT CLASSES.,Malavika Samak Deokhwan Kim Martin C. Rinard,https://doi.org/10.1145/3371120
* KIND INFERENCE FOR DATATYPES.,Ningning Xie Richard A. Eisenberg Bruno C. d. S. Oliveira,https://doi.org/10.1145/3371121
* SYNTHESIS OF COORDINATION PROGRAMS FROM LINEAR TEMPORAL SPECIFICATIONS.,Suguman Bansal Kedar S. Namjoshi Yaniv Sa'ar,https://doi.org/10.1145/3371122
* A PROBABILISTIC SEPARATION LOGIC.,Gilles Barthe Justin Hsu Kevin Liao,https://doi.org/10.1145/3371123
* AUGMENTED EXAMPLE-BASED SYNTHESIS USING RELATIONAL PERTURBATION PROPERTIES.,Shengwei An Rishabh Singh Sasa Misailovic Roopsha Samanta,https://doi.org/10.1145/3371124
* SEMANTICS OF HIGHER-ORDER PROBABILISTIC PROGRAMS WITH CONDITIONING.,Fredrik Dahlqvist Dexter Kozen,https://doi.org/10.1145/3371125
"* THE FIRE TRIANGLE: HOW TO MIX SUBSTITUTION, DEPENDENT ELIMINATION, AND EFFECTS.",Pierre-Marie Pédrot Nicolas Tabareau,https://doi.org/10.1145/3371126
* SYTECI: AUTOMATING CONTEXTUAL EQUIVALENCE FOR HIGHER-ORDER PROGRAMS WITH REFERENCES.,Guilhem Jaber,https://doi.org/10.1145/3371127
* DETECTING FLOATING-POINT ERRORS VIA ATOMIC CONDITIONS.,Daming Zou Muhan Zeng Yingfei Xiong Zhoulai Fu Lu Zhang Zhendong Su,https://doi.org/10.1145/3371128
* GUARDED KLEENE ALGEBRA WITH TESTS: VERIFICATION OF UNINTERPRETED PROGRAMS IN NEARLY LINEAR TIME.,Steffen Smolka Nate Foster Justin Hsu Tobias Kappé Dexter Kozen Alexandra Silva,https://doi.org/10.1145/3371129
* PROVENANCE-GUIDED SYNTHESIS OF DATALOG PROGRAMS.,Mukund Raghothaman Jonathan Mendelson David Zhao Mayur Naik Bernhard Scholz,https://doi.org/10.1145/3371130
* FULL ABSTRACTION FOR THE QUANTUM LAMBDA-CALCULUS.,Pierre Clairambault Marc de Visme,https://doi.org/10.1145/3371131
* BACKPROPAGATION IN THE SIMPLY TYPED LAMBDA-CALCULUS WITH LINEAR NEGATION.,Aloïs Brunel Damiano Mazza Michele Pagani,https://doi.org/10.1145/3371132
* DOES BLAME SHIFTING WORK?,Lukas Lazarek Alexis King Samanvitha Sundar Robert Bruce Findler Christos Dimoulas,https://doi.org/10.1145/3371133
* DECIDABLE SUBTYPING FOR PATH DEPENDENT TYPES.,Julian Mackay Alex Potanin Jonathan Aldrich Lindsay Groves,https://doi.org/10.1145/3371134
* LABEL-DEPENDENT SESSION TYPES.,Peter Thiemann Vasco T. Vasconcelos,https://doi.org/10.1145/3371135
* POINTER LIFE CYCLE TYPES FOR LOCK-FREE DATA STRUCTURES WITH MEMORY RECLAMATION.,Roland Meyer Sebastian Wolff,https://doi.org/10.1145/3371136
* APL SINCE 1978.,Roger K. W. Hui Morten Kromberg,https://doi.org/10.1145/3386319
* THRIVING IN A CROWDED AND CHANGING WORLD: C++ 2006-2020.,Bjarne Stroustrup,https://doi.org/10.1145/3386320
* A HISTORY OF CLOJURE.,Rich Hickey,https://doi.org/10.1145/3386321
* HISTORY OF COARRAYS AND SPMD PARALLELISM IN FORTRAN.,John Reid Bill Long Jon Steidel,https://doi.org/10.1145/3386322
* ORIGINS OF THE D PROGRAMMING LANGUAGE.,Walter Bright Andrei Alexandrescu Michael Parker,https://doi.org/10.1145/3386323
* EVOLUTION OF EMACS LISP.,Stefan Monnier Michael Sperber,https://doi.org/10.1145/3386324
* THE EARLY HISTORY OF F#.,Don Syme,https://doi.org/10.1145/3386325
* A HISTORY OF THE GROOVY PROGRAMMING LANGUAGE.,Paul King,https://doi.org/10.1145/3386326
* JAVASCRIPT: THE FIRST 20 YEARS.,Allen Wirfs-Brock Brendan Eich,https://doi.org/10.1145/3386327
* LABVIEW.,Jeffrey Kodosky,https://doi.org/10.1145/3386328
* HISTORY OF LOGO.,Cynthia Solomon Brian Harvey Ken Kahn Henry Lieberman Mark L. Miller Margaret Minsky Artemis Papert Brian Silverman,https://doi.org/10.1145/3386329
* HYGIENIC MACRO TECHNOLOGY.,William D. Clinger Mitchell Wand,https://doi.org/10.1145/3386330
* A HISTORY OF MATLAB.,Cleve Moler Jack Little,https://doi.org/10.1145/3386331
* THE ORIGINS OF OBJECTIVE-C AT PPI/STEPSTONE AND ITS EVOLUTION AT NEXT.,Brad J. Cox Steve Naroff Hansen Hsu,https://doi.org/10.1145/3386332
* A HISTORY OF THE OZ MULTIPARADIGM LANGUAGE.,Peter Van Roy Seif Haridi Christian Schulte Gert Smolka,https://doi.org/10.1145/3386333
"* S, R, AND DATA SCIENCE.",John M. Chambers,https://doi.org/10.1145/3386334
* THE EVOLUTION OF SMALLTALK: FROM SMALLTALK-72 THROUGH SQUEAK.,Daniel Ingalls,https://doi.org/10.1145/3386335
* THE HISTORY OF STANDARD ML.,David MacQueen Robert Harper John H. Reppy,https://doi.org/10.1145/3386336
* VERILOG HDL AND ITS ANCESTORS AND DESCENDANTS.,Peter Flake Phil Moorby Steve Golson Arturo Salz Simon J. Davidmann,https://doi.org/10.1145/3386337
* A GENERAL APPROACH TO DEFINE BINDERS USING MATCHING LOGIC.,Xiaohong Chen Grigore Rosu,https://doi.org/10.1145/3408970
* A QUICK LOOK AT IMPREDICATIVITY.,Alejandro Serrano Jurriaan Hage Simon Peyton Jones Dimitrios Vytiniotis,https://doi.org/10.1145/3408971
* A UNIFIED VIEW OF MODALITIES IN TYPE SYSTEMS.,Andreas Abel Jean-Philippe Bernardy,https://doi.org/10.1145/3408972
* A DEPENDENTLY TYPED CALCULUS WITH PATTERN MATCHING AND ERASURE INFERENCE.,Matus Tejiscak,https://doi.org/10.1145/3408973
