args.keyword is: ['MEMORY', 'POINTE', 'INTEGRITY', 'CFI', 'CPI', 'TAG', 'COMPART', 'STACK', 'HEAP', ' BIN', 'CAPABILITY', 'CONTROL FLOW', 'CONTROL-FLOW', 'CHECK', ' C ', 'TYPE ', 'TYPE-', 'DATA FLOW', 'DATA-FLOW', 'ISOLATION', 'INTRA PROCEDURE', 'INTRA-PROCEDURE', 'PROCESS', 'INTEL', 'ARM', 'RISC-V', 'RISC V', 'SECUR', 'DETECT', 'VULNER', 'MITIGATION', 'METADATA', 'ENFORCE', 'ATTACK', 'PREVENT', 'TRACK', 'THREAT', 'EXPLOIT', 'PROTECT', 'AUTH', 'KEY\n']
args.excludekeyword is: ['DATABASE', 'DATACENTER', 'NEURAL', 'LEARNING', 'LANGUAGE MODEL', 'CONVOLUTIONAL', 'TENSOR', 'SMART', 'BLOCKCHAIN', 'SUPPLY CHAIN', 'CONCURR', 'QUANTUM', 'DNN', 'CNN', 'RNN', 'GNN', 'BNN', 'DRAM', 'NVM', 'NON-VOLATILE', 'MEMORY MANAGEMENT', 'POWER', 'THERMAL', 'NETWORK', 'DNS', ' IP', ' TCP', 'DDOS', 'VOLTAGE', 'PRE-TRAIN', 'TRAINING', 'VIDEO', 'VOICE', 'SPEECH', 'BLUETOOTH', 'PARALLEL', 'GPU', 'MACHINE LEARNING', 'ADVERSARIAL', 'CLOUD', 'MIRCO SERVICE', ' EDGE ', 'MALWARE', 'TRAFFIC', 'PROTOCOL', 'INTERNET OF THING', ' IOT', '3D', '3-D', 'FLASH', 'NEAR-MEMORY', 'PERSISTENT MEMORY', 'BROWSER', 'WEBSITE', 'POISSON', 'HTTP', 'VEHICLE', 'AUTONOMOUS', 'MEMORY MODEL', 'STACK OVERFLOW', 'SENSOR', 'ROWHAMMER', 'ZERO-KNOWLEDGE PROOFS', 'PROOFS OF SHUFFLE', 'DISTRIBUTED', 'FILE SYSTEM', 'HIGH SPEED', 'SPEEDING', 'MOBILE', 'I/O', 'DEVICE', 'INDUSTRIAL', 'GRAPH REASONING', ' FACE', 'SIDE CHANNEL', 'SIDE-CHANNEL', 'CACHE', 'RANSOMWARE', 'APPLICATIONS', 'CONVERGENCE', 'MODAL', 'BUSINESS', 'MEMBERSHIP INFERENCE']
==========,PACMPL,TITLE,AUTHORS,URL,===========
* A SEPARATION LOGIC FOR HEAP SPACE UNDER GARBAGE COLLECTION.,https://doi.org/10.1145/3498672, ,Jean-Marie Madiot François Pottier
* VIP: VERIFYING REAL-WORLD C IDIOMS WITH INTEGER-POINTER CASTS.,https://doi.org/10.1145/3498681, ,Rodolphe Lepigre Michael Sammler Kayvan Memarian Robbert Krebbers Derek Dreyer Peter Sewell
* ISOLATION WITHOUT TAXATION: NEAR-ZERO-COST TRANSITIONS FOR WEBASSEMBLY AND SFI.,https://doi.org/10.1145/3498688, ,Matthew Kolosick Shravan Narayan Evan Johnson Conrad Watt Michael LeMay Deepak Garg Ranjit Jhala Deian Stefan
* FAIR TERMINATION OF BINARY SESSIONS.,https://doi.org/10.1145/3498666, ,Luca Ciccone Luca Padovani
* MŒBIUS: METAPROGRAMMING USING CONTEXTUAL TYPES: THE STAGE WHERE SYSTEM F CAN PATTERN MATCH ON ITSELF.,https://doi.org/10.1145/3498700, ,Junyoung Jang Samuel Gélineau Stefan Monnier Brigitte Pientka
* STAGING WITH CLASS: A SPECIFICATION FOR TYPED TEMPLATE HASKELL.,https://doi.org/10.1145/3498723, ,Ningning Xie Matthew Pickering Andres Löh Nicolas Wu Jeremy Yallop Meng Wang
"* ON TYPE-CASES, UNION ELIMINATION, AND OCCURRENCE TYPING.",https://doi.org/10.1145/3498674, ,Giuseppe Castagna Mickaël Laurent Kim Nguyen Matthew Lutze
* TYPE-LEVEL PROGRAMMING WITH MATCH TYPES.,https://doi.org/10.1145/3498698, ,Olivier Blanvillain Jonathan Immanuel Brachthäuser Maxime Kjaer Martin Odersky
* EXTENDING INTEL-X86 CONSISTENCY AND PERSISTENCY: FORMALISING THE SEMANTICS OF INTEL-X86 MEMORY TYPES AND NON-TEMPORAL STORES.,https://doi.org/10.1145/3498683, ,Azalea Raad Luc Maranget Viktor Vafeiadis
* SOFTWARE MODEL-CHECKING AS CYCLIC-PROOF SEARCH.,https://doi.org/10.1145/3498725, ,Takeshi Tsukada Hiroshi Unno
"* EFFECTS, CAPABILITIES, AND BOXES: FROM SCOPE-BASED REASONING TO TYPE-BASED REASONING AND BACK.",https://doi.org/10.1145/3527320, ,Jonathan Immanuel Brachthäuser Philipp Schuster Edward Lee Aleksander Boruch-Gruszecki
* LE TEMPS DES CERISES: EFFICIENT TEMPORAL STACK SAFETY ON CAPABILITY MACHINES USING DIRECTED CAPABILITIES.,https://doi.org/10.1145/3527318, ,Aïna Linn Georges Alix Trieu Lars Birkedal
* SHARP: FAST INCREMENTAL CONTEXT-SENSITIVE POINTER ANALYSIS FOR JAVA.,https://doi.org/10.1145/3527332, ,Bozhen Liu Jeff Huang
* C TO CHECKED C BY 3C.,https://doi.org/10.1145/3527322, ,Aravind Machiry John H. Kastner Matt McCutchen Aaron Eline Kyle Headley Michael Hicks
* BEYOND RELOOPER: RECURSIVE TRANSLATION OF UNSTRUCTURED CONTROL FLOW TO STRUCTURED CONTROL FLOW (FUNCTIONAL PEARL).,https://doi.org/10.1145/3547621, ,Norman Ramsey
* DATATYPE-GENERIC PROGRAMMING MEETS ELABORATOR REFLECTION.,https://doi.org/10.1145/3547629, ,Hsiang-Shang Ko Liang-Ting Chen Tzu-Chi Lin
* STAGED COMPILATION WITH TWO-LEVEL TYPE THEORY.,https://doi.org/10.1145/3547641, ,András Kovács
* CONSTRAINT-BASED TYPE INFERENCE FOR FREEZEML.,https://doi.org/10.1145/3547642, ,Frank Emrich Jan Stolarek James Cheney Sam Lindley
* ANALYZING BINDING EXTENT IN 3CPS.,https://doi.org/10.1145/3547645, ,Benjamin Quiring John H. Reppy Olin Shivers
* ENTANGLEMENT DETECTION WITH NEAR-ZERO COST.,https://doi.org/10.1145/3547646, ,Sam Westrick Jatin Arora Umut A. Acar
* AUTOMATICALLY DERIVING CONTROL-FLOW GRAPH GENERATORS FROM OPERATIONAL SEMANTICS.,https://doi.org/10.1145/3547648, ,James Koppel Jackson Kearl Armando Solar-Lezama
* A REASONABLY GRADUAL TYPE THEORY.,https://doi.org/10.1145/3547655, ,Kenji Maillard Meven Lennon-Bertrand Nicolas Tabareau Éric Tanter
* COMPOSITIONAL VIRTUAL TIMELINES: VERIFYING DYNAMIC-PRIORITY PARTITIONS WITH ALGORITHMIC TEMPORAL ISOLATION.,https://doi.org/10.1145/3563290, ,Mengqi Liu Zhong Shao Hao Chen Man-Ki Yoon Jung-Eun Kim
* WILDCARDS NEED WITNESS PROTECTION.,https://doi.org/10.1145/3563301, ,Kevin Bierhoff
* INCREMENTAL TYPE-CHECKING FOR FREE: USING SCOPE GRAPHS TO DERIVE INCREMENTAL TYPE-CHECKERS.,https://doi.org/10.1145/3563303, ,Aron Zwaan Hendrik van Antwerpen Eelco Visser
* MLSTRUCT: PRINCIPAL TYPE INFERENCE IN A BOOLEAN ALGEBRA OF STRUCTURAL TYPES.,https://doi.org/10.1145/3563304, ,Lionel Parreaux Chun Yin Chau
"* HIGHLY ILLOGICAL, KIRK: SPOTTING TYPE MISMATCHES IN THE LARGE DESPITE BROKEN CONTRACTS, UNSOUND TYPES, AND TOO MANY LINTERS.",https://doi.org/10.1145/3563305, ,Joshua Hoeflich Robert Bruce Findler Manuel Serrano
* TYPE-DIRECTED SYNTHESIS OF VISUALIZATIONS FROM NATURAL LANGUAGE QUERIES.,https://doi.org/10.1145/3563307, ,Qiaochu Chen Shankara Pailoor Celeste Barnaby Abby Criswell Chenglong Wang Greg Durrett Isil Dillig
* THE ESSENCE OF ONLINE DATA PROCESSING.,https://doi.org/10.1145/3563320, ,Philip Dexter Yu David Liu Kenneth Chiu
